,block_timestamp,event_index,from_,hr,msg_index,to_,tx_id,action,amount,day
29,2022-02-14 12:26:54,1,terra1zhhcjl2528nfh776rmvugx434r3enf4trnzrm5,2022-02-14 12:00:00.000,0,terra19r696ah3p7qw4n203lmlx3rv4uzajy3h6xsw57,3F08B7CB16FDA4D89CE0523A34DAA6A2DFD2A9202C9CDC0BB5A6E510EE0815F4,transfer,1.577812918e-33,2022-02-14
30,2022-02-14 19:07:44,1,terra13mapx2zjqrv8fpatg0g3p2sfqglms7hkdas0rr,2022-02-14 19:00:00.000,0,terra19280fna5mgw7l3w76wj0x35uf6zuajqfvzcjgk,10EEEDC942A506266CF222F0881A5BD1F9DF519EAA73666A9317315530706788,transfer,7.394999999999999e-33,2022-02-14
31,2022-03-10 16:11:45,1,terra1tu84773fs3wac95dccp4augz69amyu5y6rwm52,2022-03-10 16:00:00.000,0,terra1egzwqcp4sfdfy4hyphek0ds4za9u6295z632p7,A6F1EECA8DE71AE28EF6F186B000BAE1ED1B841C698BDC41DD91B9070C39DCE0,transfer,1.4689999999999999e-33,2022-03-10
32,2022-02-28 08:01:00,1,terra1rf2xzx0v4ddjcfyj3e7kmks2tun8s9lmnj5d0a,2022-02-28 08:00:00.000,0,terra10j88evvssl4m0ztj2hcelf993j5a0xd3ezd7se,933F1E8F86ED17EDCD491847549DC2D4C21CD9F61BFA27AB1B3361DF5D0B011E,transfer,1.1361391797999999e-32,2022-02-28
33,2022-02-07 18:05:07,1,terra18r7epm7pzjpgsn4twsnnngj7gpzydqys5q20kz,2022-02-07 18:00:00.000,0,terra1et0tk2pl2qu34pw8wwue7g5k2fv526yvkygszl,0BD71D93E07CA86396531360231BDAF6AE409FC938EE54613E199B671E5F659C,transfer,5.921127979999996e-34,2022-02-07
34,2022-02-07 16:06:08,1,terra1gdepjg50eq4n76ugf352kncry9z0ay3y02wk9y,2022-02-07 16:00:00.000,0,terra12u69uca4f88ksfu7fna4y5px6zccqdn0qzuce4,79FE40BCC70D8AD48813EA8BBB62FD6AC994E984E1DB386AA914D39AB1C81941,transfer,2.9232673000000003e-35,2022-02-07
35,2022-02-07 18:46:08,1,terra1deqp3msjnc4z606h9sqj49vac2fa4nkc5aquhr,2022-02-07 18:00:00.000,0,terra1nzy8jxls0ena2ckw0vjew3vdsjewgvgvmyv9rt,FCA774C8AE6677E98410E591ADAD66FE691D701FD2999B85B67F61EB590F2542,transfer,1.5130247799999995e-34,2022-02-07
36,2022-02-07 12:43:24,1,terra153us982puykx28te746jyw4ctqk76v309mydm4,2022-02-07 12:00:00.000,0,terra1rmeut4ye9ew0lc9t0n64snryrye2jf7uzlhqr4,3C4518BBFDE39A73E1D5919DEF103AE94FD5849D8DB06DCFA26E1B508E93CB45,transfer,2.9564e-32,2022-02-07
37,2022-02-06 16:46:00,1,terra1lagy7nke0flq6jhx95u8pxctwf2wmvskmry933,2022-02-06 16:00:00.000,0,terra1py4p7fa9ljr2x68t5rfjy7hvv5cg2rxpq3mu8n,41DA2A3021760AD27EBDDBE79007252D84306EC5EEE3AEB25BFDAC866BAE1704,transfer,2.9605639932000005e-32,2022-02-06
38,2022-02-06 18:56:23,1,terra1hgmvpdngnde9jzj0rafqj8hgw90vzuarsgahn4,2022-02-06 18:00:00.000,0,terra10v7ersyxxzjdtckf64kfjsv2gjj3ntcxxd6jmj,2B126FE3F39AF8A6E9899DB557DE4FD8EE3F86C50ABA18630630847DFAAE7A2F,transfer,1.4802809999999998e-32,2022-02-06
39,2022-02-06 18:14:26,1,terra1ggjgjm334jgpl7tdw2hcfnxx2f3dh52ar9q250,2022-02-06 18:00:00.000,0,terra1fqm8y29e5fpq7g82tr0dq2um4p6jpxhk86gd85,95F0E0B3C4D3A36CAD3207DA89CB94A9DDC333BFF1BB1D6D6BE4EC4C523CB5BF,transfer,1.48028199e-34,2022-02-06
40,2022-02-18 13:59:43,1,terra14fy7s3f8cs3msp8syuqzczw9hg9yyymhktussy,2022-02-18 13:00:00.000,0,terra1fstx3s288qk9jek9e9t0hjeszduj687kr333e6,5711B1C6F9BA1FB291C9A5ADB18953D970D2C477FE9FFC39F2B31614B55CE5BC,transfer,1.4688550270000001e-33,2022-02-18
41,2022-02-18 14:13:38,1,terra1en78vyplxa75tvhwk9axyq7essen4t09rcg6sf,2022-02-18 14:00:00.000,0,terra1eklvz8zp52rygj5x5d6pj0fgr0a9uucv68mlrm,AF1B374C9AD2EF99584C1129093007776FC9C006805AE56305FDF3D7790BCCE5,transfer,4.5446532279e-32,2022-02-18
42,2022-02-20 09:33:26,1,terra17jvykqnjajndl4vutexrrdyyr3lyg8hxw6ap9y,2022-02-20 09:00:00.000,0,terra1q4a26wldwvztnzevpvp7zfkn6d8rmtnl34a6xq,1E5295B6463E01853431A281876F8CB9068672A701C293DAC9EE35C5468793A5,transfer,4.613694000000001e-36,2022-02-20
43,2022-03-05 07:48:15,1,terra19n9xgsntfangc49u739g7wz0ls474w75uytc3j,2022-03-05 07:00:00.000,0,terra1n8etvn6px3awgasnr63q6f0xqjqak9mqmuht2p,32ED598A8EE6552DFCC42D0B2E0B26296133C5EBF00FD17D29BA046083532200,transfer,5.8829999999999974e-33,2022-03-05
44,2022-03-06 08:08:47,1,terra1kh0fdmp4zn05qdqjmn22uq4jv9v0zcxxzhkfw0,2022-03-06 08:00:00.000,0,terra1cc9rt6396g6ka0twcjh5lwmchx0up7uupf2zyx,8D5BC512EBCCE1D24FD4D05DAD9A33A25F26D114A6D662785DF2A0746D5C9B9B,transfer,4.5876859999999995e-32,2022-03-06
45,2022-02-06 19:33:47,1,terra14x8ez5pzf5qvl3s6qpz2g4lfmzjm8yckkwyq4h,2022-02-06 19:00:00.000,0,terra1ke2epdm0yktdgfm2lw37k4cy7gfq8xr4d9pzm9,147FB6D9815040CC8D8E7FF548FBFDB021604AB9A886F693B2CCDC0F33046C2E,transfer,1.4802819959999993e-33,2022-02-06
46,2022-02-06 16:28:20,1,terra12squptldj6jkcmr3fc5y5ysajrltqhkdwm9d0h,2022-02-06 16:00:00.000,0,terra1dcmy3qgy3vyvjg7dpmk8llyj3h25vvt8hr75ll,11A751EC5A61AB189A1FBD48DB480226E74F994DF6C10062CE24239B9D520966,transfer,4.292817790000002e-34,2022-02-06
47,2022-02-06 17:03:09,1,terra1g2dfcrapgctdfra55e2zt4pcwzghku5xkvh4w2,2022-02-06 17:00:00.000,0,terra19z5u6hj0jcpdv7mh5jskgjzns9umne62l2u7sf,EC5DFD22BD0D3A1BBDEF17B2D05813CE23ABCFC38D1D165E24632A3D4DF14F53,transfer,1e-36,2022-02-06
48,2022-02-06 20:41:13,1,terra1ay3gl5rmftydzx6jfne59t04qjfvct9whet4gm,2022-02-06 20:00:00.000,0,terra1n0wltjcrv47zzkrc8a7lll8v4fvn5tthfak4fa,F15E6D2A1C5739D70661E6B2BA8CE9DF560ED391074BC2BD1467B55CBF56363C,transfer,7.737845500000001e-35,2022-02-06
50,2022-02-14 14:08:24,1,terra1dsm5njqayxjwz4dh2uz3axahu74pf57eemguah,2022-02-14 14:00:00.000,0,terra1zvaahve6x0h7lxav8yusssqnnlz9u2x0g7e3y7,E82F6451AD9999B686B8D887297674F1A89D18BB4B6432B1FE9CD15E70CE81D6,transfer,5.979820011000001e-33,2022-02-14
52,2022-02-15 21:22:30,1,terra12n7j0ptzgw0f7scps6x2ul5pkn0crqd7rx8l2g,2022-02-15 21:00:00.000,0,terra15ajdr0yxwntlrex7t7he0es9gkku60fle9vak0,B53E23BEDB86BB95B7C7F2815EB20C71B84866745353CF05BE3ACF9CAD1D93F4,transfer,2.9999999999999995e-30,2022-02-15
53,2022-02-14 23:40:22,1,terra1dnnj0hy4wqtnhulzj69ld2ua8jah0eques3pvg,2022-02-14 23:00:00.000,0,terra1gth48kux43turd0yegxk6r9cal4pnz8rkyx7xf,D0791FA34C161FD4E96CA09B620AB4190BAFCE35A040670C42D5562CFDDE7DFA,transfer,1.9699999999999998e-32,2022-02-14
54,2022-03-10 15:59:39,1,terra1tu84773fs3wac95dccp4augz69amyu5y6rwm52,2022-03-10 15:00:00.000,0,terra1egzwqcp4sfdfy4hyphek0ds4za9u6295z632p7,49E58EA47F4078722292BBF5430209632CE0F5C32EBBB1E60A888A2D4FA096BD,transfer,8.899999999999998e-35,2022-03-10
55,2022-02-27 16:07:18,1,terra1jesfrtv3yjcug7c2sfhfdavh6h0yhdhsvwhvdj,2022-02-27 16:00:00.000,0,terra1rj627ddw7209q3p6r5l8n98we2nsymm658t5lf,68F094D7DB1F27CC00AD3B72A927C2636113F3EE7E7A5FAF4980DBE80B7F886C,transfer,5.8128391509999996e-33,2022-02-27
56,2022-03-05 01:18:00,1,terra1gxf7h2w0q4vz7upraptfplvt4dmvzy9a9e63uy,2022-03-05 01:00:00.000,0,terra1cqtgfky6a25x2w8h2p40ue87hphy8qzce053xc,FD1D0D2F82713B1DB69DCDE8E2EBF28F62276D134E6932BA6A34CF400D79C520,transfer,2.5758493110000002e-33,2022-03-05
57,2022-02-09 07:36:00,1,terra15fh7h94hzszss90ndv0jdfwxyk3dq989mnd53h,2022-02-09 07:00:00.000,0,terra1gszkalr4fmx67vqdqttt9ekgqdvpvpyu2e2hnx,1526EB87A7CAF420C2F723D4EA5DC1EC5FB408F0A8702B8C78181CB8A05046A9,transfer,5.921127986479999e-31,2022-02-09
58,2022-02-09 16:26:58,1,terra19t5kmq3stpn8kctn7r8r262hpn02tre3u6x44k,2022-02-09 16:00:00.000,0,terra1r2yhcpt5rn70gn0rsw8xstuu9zzw2hfrassppr,73CB71998FE8FE2D0442941CDD76DE8F1F613682A72F7E9FB0C2DFD7E574808E,transfer,5.049830900000002e-34,2022-02-09
