,block_timestamp,event_index,from_,hr,msg_index,to_,tx_id,action,amount
30,2022-02-24 01:00:01.968000,1,terra1kqtavayga96he2ppspkf6exn964dmxtl89q4kj,2022-02-24 01:00:00.000,0,terra1jesfrtv3yjcug7c2sfhfdavh6h0yhdhsvwhvdj,1C30D54FA134E2058EAFEECF295E0D2837DACB9A391E42F7EF3BD6F0AD8F65F8,transfer,4738357946
31,2022-02-07 13:24:56.522000,1,terra10q747sf0pj4nuup7zqh44gf6kunm3q3hcdav2u,2022-02-07 13:00:00.000,0,terra19ghynr7w5w0twjwtwwa2rf24zzmulyqz7np7es,720C4543C6CA02067B08AB73B44367EFCF57E473D8A3344A7CF152EBF1646466,transfer,1478404972
32,2022-02-07 06:57:06.664000,1,terra1jgzfgj88afp5wy7k4jz28agde75hahtjg0t03w,2022-02-07 06:00:00.000,0,terra1yu076nvjakk759r9tlsnhhtvnyn3addq60ush0,5C9C5946EA3B23024E784776B75EB18C9FAEC2CFCE6FB671EF93ED2CF2039927,transfer,29574665844
33,2022-03-14 21:53:23.159000,1,terra14tf708439xhdm7yp9xl0856nuw6sp0rzmy7eup,2022-03-14 21:00:00.000,0,terra1kfetepa5p99l9wmpdmgrz4gn2057kupespvd5d,FB0BCC3BBA793B6341133E9BC0FC0F66CFB33E724F0256A30D87DC69E21FAF96,transfer,1000000
34,2022-03-14 21:51:12.570000,1,terra1kfetepa5p99l9wmpdmgrz4gn2057kupespvd5d,2022-03-14 21:00:00.000,0,terra14tf708439xhdm7yp9xl0856nuw6sp0rzmy7eup,9201CB248FC20FA543E477294F0CD068E173B21A0144E4DB4E1EA96684E05996,transfer,1000000
35,2022-03-11 02:47:09.781000,1,terra1hu365upyf57l4jf5daxlex2gxg9ak9x388nduj,2022-03-11 02:00:00.000,0,terra1jdez00cz7fmhd7lpdd3d5tjvpjvyc47z5c040d,772BF12305E11921CCA62591F9A26BDB3189B709CCA0616877DBC7ECD0B5AF55,transfer,15262310934
36,2022-03-10 00:27:23.253000,1,terra13sw5hzcprynj5zeuv4sx9s5rjepf8wyfwfcgpk,2022-03-10 00:00:00.000,0,terra1wfyjrxw3ncmwxmv6slafcnurf5jagaqyq5k8j2,72517017A303AE653CB1F10DAEF9A64228CDEC34503CC3C38558436228F89D77,transfer,10000000
37,2022-02-18 18:25:40.081000,1,terra1eyf7wxefg6y0h9vhnh7prz7apav0wph7jl9tq6,2022-02-18 18:00:00.000,0,terra1p2ptfvmda4anhp68s80xlna6uekpwfqud73j4h,01C58813B4E2AA2477758E479EC59E1990B1000BFB3F5A7790A888BD0CA84626,transfer,176829972
38,2022-02-18 13:30:05.551000,1,terra1hfwjlantyguqzk6zqu7j6jcdwadcrq882aqfvk,2022-02-18 13:00:00.000,0,terra1xpyjzn659s2dsyzxqusqv8ycmkxpt6fkqmjtdj,2C6A409A6819E0C278F664312228BAB8FB6F78B4F4D47B84D8A3F22D42CBE9D4,transfer,600691525
39,2022-02-26 23:29:46.994000,1,terra1mdjnkzs7uu9dnsdldmz9hngwcjxqhy45rqky7w,2022-02-26 23:00:00.000,0,terra1jqc88enkja3ys29z27juae9gp8tce78a9l86t6,7F4B54B70E8FC2D3B9980D11016FEB070E8BF8AA9C1847FA702B3629767D4A0F,transfer,88828655
