,0_ask_asset,0_offer_amount,0_offer_asset,0_price,0_return_amount,1_ask_asset,1_offer_amount,1_offer_asset,1_price,1_return_amount,block_timestamp,event_index,from_,msg_index,sender,to_,tx_id
1842,PRISM,10.0,cLUNA,0.007179926277,1392.771961,LUNA,1392.771961,PRISM,141.183569604,9.864972,2022-02-16 23:36:58.952,3,terra1qk0yyz825vz93vaunxtaez70n5yjg7azdzfc34,0,terra1qk0yyz825vz93vaunxtaez70n5yjg7azdzfc34,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,AD8BBA032B7C23A6C2A7720EABC333431E49AB94E5D96C8A8CA67CD7F1132903
1843,PRISM,6.645344,yLUNA,0.01031821805,644.039888,UST,644.039888,PRISM,2.5178988870000003,255.784651,2022-02-17 00:01:41.840,3,terra1fgdu7yawrr408kc98ep7e83tk0pv0c9nnahlh6,0,terra1fgdu7yawrr408kc98ep7e83tk0pv0c9nnahlh6,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,C69792A6F869C8F39DADBF98BDA345B4A08FB8C4D586EB9791D2C533F5E70F69
1844,PRISM,2.358275,LUNA,0.00712502047,330.985014,yLUNA,330.985014,PRISM,97.492937775,3.394964,2022-02-17 00:03:04.070,3,terra1r38qlqt69lez4nja5h56qwf4drzjpnu8gz04jd,0,terra192ek86m6205867hdgme9j3jev9nd83y535thxv,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,20515D3D115974EC9D0E12702D782A4A08A668E9E56575F6A22B965096ABCA9D
1845,PRISM,16.92917,pLUNA,0.02348561522,720.831447,UST,720.831447,PRISM,2.517409739,286.338547,2022-02-17 00:03:16.955,3,terra1fcnyd96cgggxa02dxu0xdcqxnv95ps3q6gzhgf,0,terra1fcnyd96cgggxa02dxu0xdcqxnv95ps3q6gzhgf,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,843ABD0AF47BBDB7ECC0E9CC3B2FAE562FE3E325A878C3E1C2409EB5CAC7D1D7
1846,PRISM,6.0,yLUNA,0.01031526392,581.662287,LUNA,581.662287,PRISM,141.188425585,4.119759,2022-02-17 00:01:09.445,3,terra1fgdu7yawrr408kc98ep7e83tk0pv0c9nnahlh6,0,terra1fgdu7yawrr408kc98ep7e83tk0pv0c9nnahlh6,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,F03F0C2553383D7F75AF29C51C9141586214AF7D6740907255E0E71933854AEE
1847,PRISM,0.124661,yLUNA,0.01036724847,12.024502,pLUNA,12.024502,PRISM,42.603819444,0.28224000000000005,2022-02-17 00:21:18.015,1,terra148gkmkz3ku9e5ltj0sklyqnkpfna4deq54ruzr,0,terra148gkmkz3ku9e5ltj0sklyqnkpfna4deq54ruzr,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,B4104D95E54DD67472B8757AAAA503E97F18CD4F64F33BD64AD0D78901C2CDFE
1848,PRISM,2.910127,pLUNA,0.02349056708,123.884919,LUNA,123.884919,PRISM,141.189853379,0.877435,2022-02-17 00:03:23.851,3,terra1gr3g8yewg37zgtmzgppmyhj97v78lvzmfy44nn,0,terra1gr3g8yewg37zgtmzgppmyhj97v78lvzmfy44nn,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,10DE07E9551CFC166F9E98A9F17256C8347500F84436ECA1349C9C09AFB79857
1849,PRISM,97.347493,yLUNA,0.010344422919999999,9410.625778,xPRISM,9410.625778,PRISM,0.9875228384,9529.527229,2022-02-17 00:20:46.104,1,terra1txr2ewcv4hhhxwrjdyy4e0ea9juay4hnfz30zs,0,terra1txr2ewcv4hhhxwrjdyy4e0ea9juay4hnfz30zs,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,697B35E6A31C80C2D07D6B82D40278050E20502AEDB7D5AA9E6E5DC311B97E0E
1850,PRISM,16.18831,xPRISM,1.017284264,15.913261,UST,15.913261,PRISM,2.517059987,6.322162,2022-02-17 00:21:05.534,3,terra1y0aacqhxtdk7fpqnun3g4ennrtuxmwkgkdu42r,0,terra1y0aacqhxtdk7fpqnun3g4ennrtuxmwkgkdu42r,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,D73A3AD304DED4B041681953315BC3E9DA976C929C7D61B740CBBCA72F0EC3CC
1851,PRISM,100.0,UST,0.399801879,250.123887,xPRISM,250.123887,PRISM,0.9906637257,252.48112,2022-02-17 00:38:54.942,3,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,0,terra1rvqm6h00hmp6x40qyekyvk77sp6zt36aq38pe6,terra1yrc0zpwhuqezfnhdgvvh7vs5svqtgyl7pu3n6c,DD777FDBE677A3AD3FFE3622DD7F01090410860CDD5E9C07DBB201B5B142C1D4
