,0_action,0_amount,1_amount,1_contract_address,2_amount,2_contract_address,3_contract_address,block_timestamp,event_index,from_,msg_index,to_,tx_id,bonded,minted
441,burn_from,53.666452,53.666452,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,53.666452,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-18 06:06:19.910,1,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,4,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,02DCFE03BEC30E0A4FB787919BFAB41C25ABEBF45F4571FB026DF6C9721F62B8,,
442,burn_from,25.11264,25.11264,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,25.11264,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-18 05:31:58.896,1,terra1adz9chtnp00wn2f0hlk9mxpym2twdpcznqjf5q,2,terra1adz9chtnp00wn2f0hlk9mxpym2twdpcznqjf5q,44784E07D8902FCB28128073278C1D91DF9537CA2140A8E904F17AD649F8E1B3,,
443,bond_split,1.0,1.0,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,1.0,terra17wkadg0tah554r35x6wvff0y5s7ve8npcjfuhz,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,2022-02-18 05:29:29.741,4,terra1fwdn5qd26de5mjvaafspe7js97687vzquaaq6w,0,terra1xw3h7jsmxvh6zse74e4099c6gl03fnmxpep76h,457A0FA774918F5FB48CEE8DDC888BA86C396C852CFD53D0F2498A5F96C69323,1.0,1.0
444,burn_from,166.21855299999999,166.21855299999999,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,166.21855299999999,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-18 06:25:56.067,1,terra1mwwzg3lxglv3sc0ceg2a7h2smne5r3jqlqjzca,2,terra1mwwzg3lxglv3sc0ceg2a7h2smne5r3jqlqjzca,442B8D18F3B4644FCDB30EDC0CD9A5F385591057CD82D4310F12C2E1DC190E36,,
445,burn_from,33.812893,33.812893,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,33.812893,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-18 06:03:35.460,1,terra1kqtavayga96he2ppspkf6exn964dmxtl89q4kj,4,terra1kqtavayga96he2ppspkf6exn964dmxtl89q4kj,E2954E8C48AC742A4F3444C8D80788FDD28D601A199CF233B4CBD33E12227D63,,
446,burn_from,4.462501,4.462501,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,4.462501,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-18 06:11:02.060,1,terra1773dhetrzx7l5srxvaa3vh4jfzjk9u6h70yrlh,2,terra1773dhetrzx7l5srxvaa3vh4jfzjk9u6h70yrlh,03A23899D776408BB077E3913C9B0E0F5E2E268C5283FA3C7B8216134211B427,,
447,burn_from,33.581488,33.581488,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,33.581488,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-18 06:18:35.591,1,terra1kqtavayga96he2ppspkf6exn964dmxtl89q4kj,4,terra1kqtavayga96he2ppspkf6exn964dmxtl89q4kj,A8017A423CF3DE24FA995F61995E4CF53AE4EA0CF85C0955A99C64AC0518B8D8,,
448,burn_from,69.065467,69.065467,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,69.065467,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-18 06:01:09.234,1,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,4,terra19up4g69n2nj8n4gpt8l6l69wj0f206cvrmxlhy,9F08AF1C24C48591054F827AB863014BC8CB230B2196EA9A0B1CDB4446C12058,,
449,burn_from,14.01428,14.01428,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,14.01428,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-18 06:06:51.288,1,terra1773dhetrzx7l5srxvaa3vh4jfzjk9u6h70yrlh,2,terra1773dhetrzx7l5srxvaa3vh4jfzjk9u6h70yrlh,69E0DB785451C2484F844DC1E738B3E68F17BFC7EB78FB09DC6FC65A81419F79,,
450,burn_from,364.01083,364.01083,terra1tlgelulz9pdkhls6uglfn5lmxarx7f2gxtdzh2,364.01083,terra13zaagrrrxj47qjwczsczujlvnnntde7fdt0mau,,2022-02-18 06:34:43.897,1,terra13dzyl7fhkgvty0nwngv9plp6glx2xsetvktl45,2,terra13dzyl7fhkgvty0nwngv9plp6glx2xsetvktl45,387F4EB70A6A41A5DDA0DD75BAE611B4185154EFC1E74438CA44D55D29784F27,,
