,ask_asset,block_timestamp,event_index,from_,msg_index,offer_amount,offer_asset,price,return_amount,sender,to_,tx_id
9606,pLUNA,2022-02-15 20:26:34.399,1,,0,9788.725508,PRISM,39.546983641,247.521419,,,ECEC438A56A1A9D29ECF3FFA8A3FB3C8A8CF8980F4BAFF887C0628FE6C57C58D
9607,pLUNA,2022-02-15 20:26:34.399,1,,0,9788.725508,PRISM,39.546983641,247.521419,terra1dnnj0hy4wqtnhulzj69ld2ua8jah0eques3pvg,,ECEC438A56A1A9D29ECF3FFA8A3FB3C8A8CF8980F4BAFF887C0628FE6C57C58D
9608,PRISM,2022-02-15 14:10:19.853,1,,0,2000.0,xPRISM,1.017812121,1964.999197,terra1ngh42wneyt30wwhyuwtlagr9j5jxle5fj9gcws,,715A4EC78E00CF5516B10BB156BD66CBF310FDCD7747FEDEDFF2EEA6B884FBE3
9609,PRISM,2022-02-15 12:08:15.456,1,,0,30017.044198,xPRISM,1.007329466,29798.63612,terra1zl9fkwuyp9ya6cx3qyecmtmm5ald9enpy9vge7,,D056F2FCA63E69FF1A62ECE44BBD9E3E54843B1B4413B9F0CF2C2E0FA5F21332
9610,UST,2022-02-15 20:06:20.572,3,terra1r60f28kmdxcxln85arnv0jkkvy8ywn09j99zwr,0,1407.0,PRISM,2.114703241,665.341582,terra1r60f28kmdxcxln85arnv0jkkvy8ywn09j99zwr,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,572A3A4CE3AE1C5CE591E0C06EB16FA30AB3C2F475E4A8290590B3009870260C
9611,yLUNA,2022-02-15 23:32:12.350,1,,0,2642.739025,PRISM,77.820563601,33.959392,terra1jtmpyx3wdpswham92nzatwpwc6h4ulkv2xrdaa,,5562BADEB9DF160F03E2248EC97196C74329CE9CEC033E2B6AB776AC71F68407
9612,PRISM,2022-02-15 11:31:39.787,1,,0,2231.474299,xPRISM,1.010547682,2208.183086,terra18k825ytetzk9smcl483z8u9s086ymmsvvwfvu7,,7D1764263075215A6A7ACFE716AF11115AB27DB2FCE922791B2167B76E7CBE8B
9613,pLUNA,2022-02-15 14:00:48.943,1,,2,418.593855,PRISM,39.631271805,10.562211,terra1rumkce8lqyec0as92xswya5rx4phcge0maxem4,,27A3F9461F396739321826FED3C81AA994FE4DDDFF0F713C3262B466A7872A82
9614,pLUNA,2022-02-15 14:17:40.430,1,,0,80.0,PRISM,39.610235285,2.01968,terra18weaqcf58rnzgpqw0x6s6frzh7hr2nnpal8tqc,,C11EA8813E9148EE75640342EE9A920C5384241D3296BAB915EA2F73E8AAFBB6
9615,PRISM,2022-02-15 07:16:41.663,1,,3,22.708212,yLUNA,0.011011623109999999,2062.203889,terra1jtmpyx3wdpswham92nzatwpwc6h4ulkv2xrdaa,,22298D06DB6BA70DD86B48CF62B486B88CADEDD5888C96DD3C3F068132162BD7
9616,,2022-02-15 11:18:58.168,3,,0,,,,,terra1fgrj2hw5zm9ee0gjg6lz9jzs6j8u9myh47k3n0,,B6A16FB606EE842404F4AECD6EE5A2A5CBCD2E2577820A4993F426BB95B0F1C0
9617,xPRISM,2022-02-15 01:34:49.424,1,,0,2534.793891,PRISM,1.001552862,2530.86381,terra1ce5sd6z70cwzn84my2dq33d2sec6md9z5l9s7g,,AD777154CCB48E631954C5D79EA46E77C052985288A0DD7E631956EB4FC4C3DB
9618,pLUNA,2022-02-15 17:22:41.065,1,,2,346.780052,PRISM,37.200783793,9.321848,terra1pwfxq45ctnv5nvvzlstp4n76maj0x97mqz7ujq,,3A9A4C6661AD4C1790E5FBF36D57DEFB24251773466967E727A3F3A16E15B562
9619,UST,2022-02-15 16:40:42.172,3,terra1x2yxw8xdrfajjr37jz2ltdphnljcyn7exu4t0h,0,42098.504368,PRISM,2.072159069,20316.251293,terra1x2yxw8xdrfajjr37jz2ltdphnljcyn7exu4t0h,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,75D55DD2F34919F19884555A272830EE7CA9A541670DE1812D2DD84A2A9AF7A8
9620,PRISM,2022-02-15 15:46:19.702,3,,1,27.896257,LUNA,0.008340315396,3344.748451,terra13v9v99jkyrxf35s7d3vvg9zae9a0d5e8r75hmj,,DC0A93237CC4899DBECC2027B0AE8FD0987C152658A1F6581CCEDB3725F43ED8
9621,pLUNA,2022-02-15 07:28:16.748,1,,0,400.0,PRISM,43.055479461,9.290339,terra1vhmv8036jkt72fg2kpxl66u4dvgulqckjqqhd5,,E877D9E1CA0047E9D3E52355810D0D3D0727D5A6CB653B70FA48EDC4C4CF8747
9622,UST,2022-02-15 00:12:48.997,3,terra14d7dx43rguf9xqrllx8lzeq4aav662mey7k5p5,0,22354.070522,PRISM,2.503452704,8929.296121,terra14d7dx43rguf9xqrllx8lzeq4aav662mey7k5p5,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,4EAD46DCA901B0A36B1E6655E3FAE7E15758FA5B9A703EE95A824250F86D63C7
9623,PRISM,2022-02-15 08:47:50.127,1,,3,44.76829,yLUNA,0.009402537403999999,4761.298794,terra1jtmpyx3wdpswham92nzatwpwc6h4ulkv2xrdaa,,7AD68317D33647CB818A79908B450AC7004E5867BB9D75607715D3F968A351FA
9624,,2022-02-15 19:17:29.117,3,,0,,,,,terra1gykmff73kfq0398gahd6p7mw3cc9nttew2g8mk,,87D30664FD2B04A5F85ADD2885E74EEB192B7BC1A3727EBEDA1C5452C2CA33F9
9625,,2022-02-15 19:39:18.512,3,,0,,,,,terra1fgef888tuj3g8tmpxp4klvthq4eqk8a2yw7vsw,,3CD224B491F19DFA2D1D45D003E109AA4AE49AE3A8190465C479E0941CF7F5E4
9626,UST,2022-02-15 20:08:06.622,3,terra1rumkce8lqyec0as92xswya5rx4phcge0maxem4,4,1233.627041,PRISM,2.116696081,582.807826,terra1rumkce8lqyec0as92xswya5rx4phcge0maxem4,terra19d2alknajcngdezrdhq40h6362k92kz23sz62u,E2DC57DCA22B9B886E5487B27DD8C59190711FA8880D4B30B91DDE516B62AC61
9627,,2022-02-15 17:23:59.063,3,,0,,,,,terra1pk9nxxj7ckcr9adeccq7wrznr9h8964yee7rxg,,BB15948FB3A5D963B34AED650A9EDAAC8E1D0890DF415378914080CC65F02DED
